Date,World Oil Production,Aggregate Industrial Production,Average World Price of Oil,Inventories of Oil (OECD),Global Activity,Year,Quarter
1971.00,1.03706197,6.413456234,0.660651022,0.868490704,-0.39912686,1971,1
1971.25,0.778290297,1.56623545,1.984573907,1.453153599,-0.35146047,1971,2
1971.50,1.454010914,-0.318979537,-0.077762233,-0.482241573,-0.32235243,1971,3
1971.75,3.340020367,4.939202543,-1.989777097,2.926498813,-0.65474655,1971,4
1972.00,2.289276978,1.647650134,-1.105371876,1.350841123,-0.60675269,1972,1
1972.25,2.074301602,-0.933132743,-0.188968457,2.25047399,0.098696412,1972,2
1972.50,1.887021235,-0.924505814,-5.112633054,4.869846714,0.24354233,1972,3
1972.75,-0.068956285,3.154927587,0.00447427,1.613423797,0.43618701,1972,4
1973.00,0.866502361,5.515379137,1.903619265,1.478275633,0.54070496,1973,1
1973.25,2.484069577,6.098575947,0.351495932,0.972999283,0.65138253,1973,2
1973.50,-4.38970624,42.7921785,2.873276024,1.05486966,0.78639825,1973,3
1973.75,3.243643627,86.51381267,1.480932086,-0.72733812,0.70525141,1973,4
1974.00,1.342985588,-2.717558538,5.601768014,0.62317739,0.62445588,1974,1
1974.25,-4.300920333,-2.906413294,-0.639687514,-2.615936091,0.50598725,1974,2
1974.50,-0.717936036,-5.40895324,-0.12288314,-5.702584577,0.28348697,1974,3
1974.75,-4.054551238,-2.938840508,6.86308831,-3.045943089,-0.070143866,1974,4
1975.00,-0.967082848,-1.355535235,-4.813809162,-0.810182905,-0.16303272,1975,1
1975.25,6.402578538,-2.298951822,1.110091307,1.678388033,-0.14012061,1975,2
1975.50,-5.803173984,8.211562659,2.076572266,2.740129384,-0.15250761,1975,3
1975.75,5.883152,-7.347110822,-0.217939399,2.353896537,-0.12363313,1975,4
1976.00,1.387481442,-1.942378386,-0.580842661,2.018880403,0.009810554,1976,1
1976.25,3.359615947,-1.834829494,2.785967621,1.367124326,-0.058998589,1976,2
1976.50,3.866770892,1.801722003,-3.969531103,1.870499514,-0.15344909,1976,3
1976.75,0.196103715,3.698358471,4.062550943,0.88341693,-0.2425078,1976,4
1977.00,-1.168402984,-2.070918696,6.103510764,0.641258601,-0.19737414,1977,1
1977.25,-0.850669841,-0.353473077,3.036165201,0.347168901,-0.25910743,1977,2
1977.50,1.505710992,-1.032112415,3.422575664,0.42059137,-0.17574947,1977,3
1977.75,-2.391454267,-1.747164528,-5.601479605,0.001978812,-0.18748959,1977,4
1978.00,2.062831035,-2.876232976,-1.718969286,1.793647176,-0.016842384,1978,1
1978.25,1.879429768,-1.624618251,1.166521207,2.1592456,0.001440455,1978,2
1978.50,0.929620575,3.546216827,3.553379488,1.596589003,0.044131487,1978,3
1978.75,-0.286979427,34.47627447,-5.553838498,0.469800855,0.12338175,1978,4
1979.00,3.059923953,37.04383155,2.8317347,0.925184435,0.31769865,1979,1
1979.25,0.531988469,8.23051087,3.288361582,0.253151427,0.29344507,1979,2
1979.50,-1.302151079,14.45749026,4.386767602,1.138111987,0.23939621,1979,3
1979.75,-0.097325168,-11.92177691,5.683954622,0.157137879,0.2532818,1979,4
